E:\data\IMG\center_2020_09_30_23_26_06_096.jpg,E:\data\IMG\left_2020_09_30_23_26_06_096.jpg,E:\data\IMG\right_2020_09_30_23_26_06_096.jpg,0,0,0,0.7885441
E:\data\IMG\center_2020_09_30_23_26_06_167.jpg,E:\data\IMG\left_2020_09_30_23_26_06_167.jpg,E:\data\IMG\right_2020_09_30_23_26_06_167.jpg,0,0,0,0.7818179
E:\data\IMG\center_2020_09_30_23_26_06_241.jpg,E:\data\IMG\left_2020_09_30_23_26_06_241.jpg,E:\data\IMG\right_2020_09_30_23_26_06_241.jpg,0,0,0,0.7751493
E:\data\IMG\center_2020_09_30_23_26_06_316.jpg,E:\data\IMG\left_2020_09_30_23_26_06_316.jpg,E:\data\IMG\right_2020_09_30_23_26_06_316.jpg,0,0,0,0.7701554
E:\data\IMG\center_2020_09_30_23_26_06_388.jpg,E:\data\IMG\left_2020_09_30_23_26_06_388.jpg,E:\data\IMG\right_2020_09_30_23_26_06_388.jpg,0,0,0,0.7634729
E:\data\IMG\center_2020_09_30_23_26_06_456.jpg,E:\data\IMG\left_2020_09_30_23_26_06_456.jpg,E:\data\IMG\right_2020_09_30_23_26_06_456.jpg,0,0,0,0.7584983
E:\data\IMG\center_2020_09_30_23_26_06_536.jpg,E:\data\IMG\left_2020_09_30_23_26_06_536.jpg,E:\data\IMG\right_2020_09_30_23_26_06_536.jpg,0,0,0,0.7519152
E:\data\IMG\center_2020_09_30_23_26_06_607.jpg,E:\data\IMG\left_2020_09_30_23_26_06_607.jpg,E:\data\IMG\right_2020_09_30_23_26_06_607.jpg,0,0,0,0.7453884
E:\data\IMG\center_2020_09_30_23_26_06_685.jpg,E:\data\IMG\left_2020_09_30_23_26_06_685.jpg,E:\data\IMG\right_2020_09_30_23_26_06_685.jpg,0,0,0,0.7389175
E:\data\IMG\center_2020_09_30_23_26_06_753.jpg,E:\data\IMG\left_2020_09_30_23_26_06_753.jpg,E:\data\IMG\right_2020_09_30_23_26_06_753.jpg,0,0,0,0.7341005
E:\data\IMG\center_2020_09_30_23_26_06_828.jpg,E:\data\IMG\left_2020_09_30_23_26_06_828.jpg,E:\data\IMG\right_2020_09_30_23_26_06_828.jpg,0,0,0,0.7277258
E:\data\IMG\center_2020_09_30_23_26_06_901.jpg,E:\data\IMG\left_2020_09_30_23_26_06_901.jpg,E:\data\IMG\right_2020_09_30_23_26_06_901.jpg,0,0,0,0.7229808
E:\data\IMG\center_2020_09_30_23_26_06_969.jpg,E:\data\IMG\left_2020_09_30_23_26_06_969.jpg,E:\data\IMG\right_2020_09_30_23_26_06_969.jpg,0,0,0,0.7167011
E:\data\IMG\center_2020_09_30_23_26_07_038.jpg,E:\data\IMG\left_2020_09_30_23_26_07_038.jpg,E:\data\IMG\right_2020_09_30_23_26_07_038.jpg,0,0,0,0.7120848
E:\data\IMG\center_2020_09_30_23_26_07_108.jpg,E:\data\IMG\left_2020_09_30_23_26_07_108.jpg,E:\data\IMG\right_2020_09_30_23_26_07_108.jpg,0,0,0,0.706012
E:\data\IMG\center_2020_09_30_23_26_07_178.jpg,E:\data\IMG\left_2020_09_30_23_26_07_178.jpg,E:\data\IMG\right_2020_09_30_23_26_07_178.jpg,0,0,0,0.7014914
E:\data\IMG\center_2020_09_30_23_26_07_249.jpg,E:\data\IMG\left_2020_09_30_23_26_07_249.jpg,E:\data\IMG\right_2020_09_30_23_26_07_249.jpg,0,0,0,0.695509
E:\data\IMG\center_2020_09_30_23_26_07_319.jpg,E:\data\IMG\left_2020_09_30_23_26_07_319.jpg,E:\data\IMG\right_2020_09_30_23_26_07_319.jpg,0,0,0,0.6910558
E:\data\IMG\center_2020_09_30_23_26_07_391.jpg,E:\data\IMG\left_2020_09_30_23_26_07_391.jpg,E:\data\IMG\right_2020_09_30_23_26_07_391.jpg,0,0.1751496,0,0.6167691
E:\data\IMG\center_2020_09_30_23_26_07_459.jpg,E:\data\IMG\left_2020_09_30_23_26_07_459.jpg,E:\data\IMG\right_2020_09_30_23_26_07_459.jpg,0,0.3527859,0,0.4266425
